platform,topic,content,toxic,toxic_one_hot,toxic_type,toxic_type_one_hot,expression,expression_one_hot,target,length,num_attacked
zhihu,race,我中国人，你喜欢黑人麻烦你走😠😠😠,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 0, 1, 0, 0]",26,1
zhihu,region,我不是河北人，但每次看到有人黑唐山也觉得恶心，一件打架斗殴的普通刑事案件能上热搜十几二十天，天天能看到骂唐山的，那个地方没有这种事，新闻一大堆，骂人算什么本事，有本事自己去制止犯罪，而不是口嗨。我感觉地域黑造成的社会危害远大于这个案件本身,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]",119,1
tieba,gender,受教育程度节节高升，服务业占比节节攀升。都学的是服务专业是吧,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 0, 0, 1, 0]",30,1
tieba,lgbt,好幸福，喜翻儿喜翻儿,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",10,0
tieba,gender,猪头肉哈哈哈哈哈,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",8,0
zhihu,race,你们也可以搞一个跟黑女交往过的男的的名单啊。公平嘛。😆,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 1, 1, 0, 0]",30,2
tieba,gender,不要出生是对她们最好的保护,1,"[0, 1]",1,"[0, 1, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",13,0
tieba,gender,说明一下，我只关爱自己身边的女性，比如老婆女儿等，别的女人关我鸟事。v,1,"[0, 1]",1,"[0, 1, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",35,0
zhihu,region,我现在在每一条地域黑回答下面都能看见浙江人，黑山东，山西，广东，湖北，东北，都是浙江人，我是真的理解不了，浙江人是不是除了自己谁都看不起啊😅,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 1, 0, 0, 0, 0]",73,1
zhihu,region,不一定……因为很多人会爱屋及乌，讨厌也同理。 比如说提起台湾你能想到周杰伦，偶像剧。提河南99%是井盖儿。。。,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]",55,1
zhihu,region,这个问题下有人有人在带节奏，那个叫务实帅男的，兄弟注意一下，他在挑拨离间，先装成东北人在河南为什么被地域黑的问题下骂河南人，然后私信回复他的河南人开始骂人，然后把两个人对骂的记录截取河南人骂东北人的片段放在东北人为什么被黑的问题下吸引东北人来骂河南人，挑拨两个地区的关系,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]",135,1
zhihu,region,😅看到你这评论，我真的忍不住了，我有个玩得很好的同事，我一直以为他是黑龙江的，他无奈的一次次告诉我，他是吉林的,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",58,0
zhihu,region,比如说到知乎三大美食荒漠，北京人直接承认，还跟着骂，深圳外来人口多，归属感差，也不说什么。唯独杭州人那个跳，你说我们荒漠是因为你吃不起巴拉巴拉😢,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 1, 0, 0, 0, 0]",75,1
zhihu,race,整急眼了我可以干猪，但是不会干有过黑人男友的女人,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 1, 1, 0, 0]",24,2
zhihu,region,什么叫本地人干的坏事全赖到外地人头上，法制节目里犯罪的基本都是苏北安徽的，身边但凡有点坏事都是外地人干的，吴语区本地人就极少有干坏事的人,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]",68,1
zhihu,region,Xg有些老年人也是這樣。不敢舉例詳細說，怕被關進小黑屋。,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",28,0
zhihu,lgbt,话说回来你又能拿同性恋怎么样呢？？有本事就弄死他们啊。几千万个，慢慢来。反正对于你这种以强凌弱的，也就这些本事这种心胸了。,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[1, 0, 0, 0, 0, 0]",61,1
tieba,gender,这不是50w？？？,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",9,0
zhihu,region,辽宁大连的，一直想大冬天去吉林长白山瞅瞅，感受大雪封山的感觉,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",30,0
zhihu,race,日本女人贤不贤惠我不太在乎，反正中国女人已经跟贤妻良母不沾边了。印度女人给不给嫁妆无所谓，反正中国这边彩礼要给，嫁妆也不是男人的。美国女人随父姓也是小事儿，反正中国女人不仅不改姓，还要求孩子跟她们姓。穆斯林女人贞不贞洁也不是我关心的，反正中国女人不太贞洁了。俄罗斯乌克兰女人漂不漂亮也就那么回事儿，反正中国女人已经靠着美颜、化妆变成世界第一了。非洲女人身材好不好我是没注意过，反正中国女人就算身材不好也是“仙女”。😆,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 1, 0, 0, 0]",211,1
tieba,race,不能呼吸是对的,1,"[0, 1]",1,"[0, 1, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",7,0
tieba,race,非洲黑人智商70，被学者归类为智障水平。美国黑人混血儿智商85，中非混血儿智商应该徘徊在90左右，妥妥的班里倒数,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 0, 1, 0, 0]",56,1
zhihu,race,喜欢黑人请去你男人国家，赖在中国就不要怪别人骂了，动手都是应该的,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 1, 0, 0]",32,2
tieba,gender,你不会是怕将来你妻子告你强奸罪吧！你放心这项罪名很难取证的，女的一告就众叛亲离被人嘲笑，女的还怎么在家里呆下去，还不如直接告离婚,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",64,1
tieba,race,连说说也不准？黑吹好猖獗,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 0, 1, 0, 0]",12,1
zhihu,region,起码在冯丽这件事情上，是这几个博主到冯丽微博下留言加辱骂河南人的，到处蹭热度，我都怀疑这些人是不是有病呀！你骂他他就截屏，说你网暴他，你不骂他马上就跑到话题下继续地域黑，我去过西安，是一座美丽的城市，文化很厚重，但华夏把中原说做陕西，黄帝故里是西安等等常识性错误的言论，还不让人说洛阳是十三朝古都，不是洛阳是古都会影响西安什么吗？无语😲😲😲😲,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]",183,1
tieba,lgbt,不负家庭责任的没有写很多，因为这种很快就离了,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",22,0
zhihu,region,江西为什么是第三号坏人,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",11,0
tieba,gender,楼主啊！我记得这是某位普信女写的关于男性的条件吧，改的好，还有，您的帖子里面有条目🐶，赶紧置顶羞辱,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",49,1
tieba,race,只有资本家才能入犹太教当犹太人,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",15,0
zhihu,region,部分地区穷吧，我说的不开化这一点,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 1, 0, 0, 0, 0]",16,1
zhihu,region,🐶兄弟！以后我就跟你混了！,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",18,0
zhihu,region,绝对是 7年前我就遇见过有国外组织带领某些人大力黑安徽的 组织的头是个中国通的美国人 当时他住在上海 对中国文化了如指掌 中文很好还懂古诗什么的 他们假装上海人黑安徽人 带动真的网上上海人黑安徽人 后来黑完安徽又选择黑河南 原因是因为他们认为河南是华夏中心起源等等 其实我还想说更多 但是我不能 我很怕 我只能说这么多,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]",159,1
tieba,gender,现实中呢，自古以来哪个黄精灵带头冲格格巫的？就算有也极少。遇到生存危机了反而是黄精灵经常依附于格格巫，造就了后院黄精灵三千的佳话，而蓝精灵在前线送命究竟是谁挡在格格巫前面历史已经告诉我们答案了,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",96,0
tieba,gender,应该多科普,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",5,0
tieba,gender,我185，但这幕刃是鲨bee,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",14,1
zhihu,race,她自己不也是一个哗众取宠的小丑？普信男有什么不好？难道天天跟个八婆一样怨天怨地怪异性才好？中国人讲究天行健君子以自强不息，普通人也要不断自强，而不是像某些群体一样一味崇洋媚外，逆向种族主义，或者性别主义。,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 1, 0, 0]",102,2
tieba,race,最近挺热闹啊，是不是放暑假的原因使得一些反某某歧视的多了起来,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",30,0
zhihu,region,这是事实吧，证据明摆着，我昨天看到真是气得不行囧,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",27,0
zhihu,region,因为我太认真了~~我是真的把古兰经、圣经、佛经(佛经不是原版那种看不懂的)，认认真真的读了一部分，是没有读完的，然后我发现我实在是读不下去，佛经还能看点人生感悟什么的，而前两者实在是，我不好说贬低它们的话，但是真的是，完全接受不能,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",115,0
tieba,lgbt,能不能回复啊，笑死了，没见过这么嘴硬小胆的fw，是不是待会还要自己精神胜利一把说我不屑于和你说话啊,1,"[0, 1]",1,"[0, 1, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",49,0
zhihu,race,恋虫癖是什么🤔,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",7,0
zhihu,region,潮汕火锅太养生了吧,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",9,0
tieba,gender,看新闻谁说华东理工大学的学生没有出声了？,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",20,0
tieba,gender,是男挙定义宠女人的男人为狗，什么叫喜欢当狗。,1,"[0, 1]",1,"[0, 1, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",22,0
tieba,gender,所谓“女生文科强，男生理科强”的刻板印象是咋出来的？我就特别的偏理科,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]",34,1
zhihu,region,依然有歧视。我是河北的，2019年去北京当保安挣学费，人家说：你是河南人？（我家是河北南部邢台的，所以说话接近河南口音）我说不是，但是有什么关系呢。公司人事对我说：早些年只要是河南的，都不要。我年龄也不大，我估计就是早期带头黑河南的，然后慢慢形成固有认知了，其实都是空穴来风。,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]",138,1
tieba,lgbt,吧里这几个反同根本没什么能力，反同还得靠同性恋,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[1, 0, 0, 0, 0, 0]",23,1
tieba,lgbt,终于可以说话了，这等级限制，这你们叫的“猪腰”是不是就是骂骂咧咧说要去人家学校堵人家的那个?,1,"[0, 1]",1,"[0, 1, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",46,0
tieba,lgbt,猪猪挺可爱的,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",6,0
zhihu,region,河北欲哭无泪,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",6,0
tieba,race,吃枣药丸🙂,1,"[0, 1]",1,"[0, 1, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",5,0
tieba,race,笑死我了智商是硬伤啊,1,"[0, 1]",1,"[0, 1, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",10,0
tieba,gender,贴吧分吧，不同的吧有不同的氛围。而且贴吧一般不火的吧你也刷不到。贴吧其实是最容易报团的，但是感觉反倒男性势力较弱。除了个别男性吧外，很难在别的涉及男女问题上男性的反抗,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",83,0
zhihu,race,身边一堆找过外国的什么成分很明显了,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 0, 1, 0, 0]",17,1
zhihu,race,别听他的，他在危言耸听，为了爱情，去美好的非洲大草原吧,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 0, 1, 0, 0]",27,1
zhihu,race,肯定不能接受，我想这是男性对自己种族的保护措施吧！如果接受和和人谈过恋爱的女人，就一定程度上等于接受黑黄混血，要不了几十年炎黄子孙就得灭绝。,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 1, 0, 0]",70,2
tieba,gender,感谢的太早了吧！多希望莆田的欧某死之前知道人间是有温度的。,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",29,0
zhihu,race,你这匿名搞得我们不太好发挥呀😓😓😓,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",26,0
tieba,gender,男人的权利得不到维护重视，女人被惯坏，都是因为这些伪君子们作出来的,1,"[0, 1]",1,"[0, 1, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",33,0
zhihu,race,+1但如果姑娘追求真爱跟黑人一起回非洲，我打心底里祝福他们俩????留在国内不讨骂蛮,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",42,0
zhihu,race,支持正义剥削😆,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 0, 0, 1, 0]",10,1
tieba,lgbt,复印还得是你们txl厉害，搁知乎上一复制来这一粘贴就把正常人的智商否定了，就那两个赞的文章谁信谁才智商有问题,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[1, 0, 0, 0, 0, 0]",54,1
zhihu,race,挺正常的，上次有个采访，一个白人女嫁了中国人，也是被她的圈子踢掉。当你选择了异类，就要有被排斥的觉悟。不过，奇怪的是，娶了黑人，白人或者越南人的男性倒是很少见他们被排斥……,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 1, 0, 0]",86,2
tieba,gender,这波自杀真亏，为啥没把那个评论区的那几个女权们带走。,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",26,1
tieba,lgbt,这样的假设，现实中并不存在或极端罕见,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",18,0
tieba,lgbt,吧主是重庆的啊，你们那儿也算是重灾区了吧,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 1, 0, 0, 0, 0]",20,1
tieba,lgbt,看来同性恋只知道污蔑他人了,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[1, 0, 0, 0, 0, 0]",13,1
zhihu,race,在家骂黑鬼出门惦念弗洛伊德？🤔,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 0, 1, 0, 0]",18,1
zhihu,race,黑二代真是黑，偷渡来中国，连个回答都要学你碟黑着来匿名不敢明面回答,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 0, 1, 0, 0]",33,1
tieba,race,为什么要管啊，这是人家私事吧，求救了吗再说你这两张图?都看到好久的贴了,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",35,0
zhihu,lgbt,说的很对。但是吃屎的也不能要吃尿的强行认同吧！,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",23,0
tieba,lgbt,你还未染艾身亡？你上药多久了？,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 0, 0, 1, 0]",15,1
tieba,race,上海朱家角,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",5,0
tieba,gender,当时那个清华腚后面看监控也反转了，所以别去信小作文,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",25,0
zhihu,race,经常听男的回家跪搓衣板，就说“正常啊，这不挺正常的吗？”，没听说过女的跪，如果跪搓衣板了，就“这是在家暴啊”，以前古代任意朝代都没有这样的哦,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 1, 0, 0, 0]",70,1
zhihu,region,可以要求学校再装电梯，可以要求学校分开男女宿舍，不让人坐电梯是个什么鬼⁉⁉,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",43,0
zhihu,region,也可以说，大多数中国人祖先都是古河南人。,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",20,0
zhihu,race,阎王老子来了 我就是种族内个歧视了🐶帽子我自己带好,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 0, 1, 0, 0]",30,1
zhihu,region,河南新疆回族人,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 1, 0, 0, 0, 0]",7,1
zhihu,region,哈哈哈哈哈我已经开始笑了,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",12,0
zhihu,race,因为黑人女孩跟黑人男孩结婚，她们不要彩礼，黑人女孩跟中国男孩结婚，她们也不要彩礼；中国女人跟中国男孩结婚，她们要大额彩礼，婚后十指不沾阳春水，中国女人找黑人男人，她们不要一分彩礼，还没结婚也可以生孩子，把黑人照顾的那叫一个舒服，外国友人都交口称赞👍,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 1, 1, 0, 0]",126,2
tieba,gender,人类中智商极端高的通常是红丸觉醒者，他们深刻认识到了母人吸血的本能和生命的雌本位底层代码，所以才把母人当成繁殖和泄欲的工具，或者干脆就是男同。,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[1, 0, 1, 0, 0, 0]",71,2
tieba,race,只能怪她没来黑人吧。,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",10,0
zhihu,race,是吧，你实践过?这样来说歪果仁传给国女，国女传播慢?你调研过啊?找了1000个男的和1000个女的互相传播?男的找女人上床要么帅，要么出钱，要么其他我，有成本，女的没有传播成本。传播原理是一样的体液交换，你哪来的女传男低，还说患上艾滋病后正常吃药活的很久呢，你也信?很多三五年之内就得死，什么活的很长。,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 1, 1, 0]",151,3
zhihu,race,啥也别说了大哥，只能劝告你一句:小心大数据杀熟!,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",24,0
zhihu,region,(〜￣△￣)〜,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",7,0
tieba,gender,抖音可能是视频推荐的问题，看到的大多数视频要么是劝女性清醒的，要么是喷她们的。总之男性起码55开,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",48,0
tieba,lgbt,艾呀，梅事的啦，疣没什么大不了的，中奖几率为淋，痿什么要担心呢，打个疱而已嘛，下次就不药啦,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 0, 0, 1, 0]",45,1
tieba,gender,生下来做个鉴定就好了，不怕一万，就怕万一。怕的就是乌龙做了坏人,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",31,0
tieba,race,中国用不了多久稳稳立于公交车行业中心，做公交车龙头企业，坚持做到一车多用，多车一用，废旧公交车循环再利用，做到每一辆车都充分利用，公交车行业必定立足于世界中心,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 1, 0, 0, 0]",79,1
tieba,gender,工业化？农业化！,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",8,0
tieba,gender,不想跟女人结婚的兄弟可以快乐的一起生活，互助。米格道不婚兄弟互助群,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",33,1
zhihu,race,中国男人在哪里都吃香吗？你骗我吧。,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",17,0
tieba,race,动物一胎生的数量大，注定竞争更激烈,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",17,0
zhihu,race,我补充一下，男的是不是可以坦白自己的pc史，这不比交往一个外国女友严重？,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 1, 0, 0, 0]",36,1
zhihu,lgbt,说的好，建议直接打砸抢,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",11,0
zhihu,race,环保问题？你告诉我现在的环保组织谁不喷？威胁论本来就是中国的崛起威胁到了西方的利益，威胁论越疯狂，中国崛起的速度就越快。但是中国女性媚外呢？国内也不是没有例子，不用不承认了，你们就是媚外。😆,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 1, 0, 0]",98,2
tieba,lgbt,比如在父母面前抽烟的大孝子行为,1,"[0, 1]",1,"[0, 1, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",15,0
tieba,gender,呃呃什么大代表?,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",8,0
tieba,gender,来看看蝈女的素质,1,"[0, 1]",2,"[0, 0, 1]",1,"[0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]",8,1
zhihu,region,上海人给丈母娘洗内裤🥺🥺老北京通天纹人上人🤭🤭🤭,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 1, 0, 0, 0, 0]",39,1
zhihu,region,你看你一讲这个，上面立马有个上海人讲自己见过河南人不好的经历了🤣，所以，这种话就不该说，说出来就是咱们被倒打一耙,0,"[1, 0]",0,"[1, 0, 0]",0,"[1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]",60,0
tieba,gender,我有一计：让她们出力禁止亲子鉴定短视的人会以为这对女人好，有远见的人会发现这解放了男人,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 0, 1, 0, 0, 0]",43,1
zhihu,region,广西没啥存在感.😅,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 1, 0, 0, 0, 0]",12,1
zhihu,lgbt,长得丑就活该被变态骚扰 这什么逻辑,1,"[0, 1]",2,"[0, 0, 1]",3,"[0, 0, 0, 1]","[0, 0, 0, 0, 1, 0]",17,1
zhihu,region,因为你还小，有很多事情不了解。黑不可能无缘无故的黑，肯定是存在问题的，这个为啥会出现这样的问题，还是出门打工的农村那帮人导致的，就像我那个时候认识的河南人那样，他自己把自己村里那帮人骂了个底朝天。其实做好自己，黑的人会越来越少。,1,"[0, 1]",2,"[0, 0, 1]",2,"[0, 0, 1, 0]","[0, 1, 0, 0, 0, 0]",114,1
